"power_scale","h_W_m2_K","total_wall_loss_W","max_T_K","avg_T_K","max_delta_T_K","max_displacement_um","max_radial_displacement_um","max_axial_displacement_um","representative_radius_change_um","representative_length_change_um","ref_alpha_deltaT_0p1m_um","ref_alpha_deltaT_diag_um","max_disp_over_ref_diag","solve_elapsed_s"
"0.5","100","10","294.029911908801","293.982564596892","0.879911908801262","1.8724956147484","1.42273199400863","1.29438539475808","0.33488077537364","0.524302666214755","1.49585024496214","2.11545170370458","0.88515167303006","7.774"
"0.5","500","10","293.371857259425","293.325246994931","0.221857259425349","0.396973679639512","0.297183779299087","0.317071318806221","0.0687374217056241","0.130382564663831","0.377157341023093","0.533381026823432","0.744259093735863","7.774"
"0.5","1000","10","293.288675514951","293.242912901527","0.138675514950648","0.212205649603415","0.156223443967996","0.193830150918833","0.0354312501928294","0.0806186710868505","0.235748375416102","0.333398549820876","0.63649241941042","7.774"
"1","100","20","294.909823817603","294.815129193783","1.75982381760252","3.7449912294968","2.84546398801723","2.58877078951619","0.669761550747279","1.04860533242954","2.99170048992429","4.23090340740916","0.885151673030058","7.774"
"1","500","20","293.593714518851","293.500493989862","0.443714518850641","0.793947359279014","0.594367558598152","0.634142637612476","0.137474843411248","0.260765129327689","0.754314682046089","1.06676205364673","0.74425909373595","7.774"
"1","1000","20","293.427351029901","293.335825803052","0.27735102990124","0.424411299206822","0.312446887935973","0.387660301837698","0.0708625003856591","0.161237342173726","0.471496750832108","0.666797099641615","0.636492419410538","7.774"
"2","100","40","296.669647635205","296.480258387566","3.51964763520493","7.48998245899358","5.69092797603443","5.1775415790324","1.33952310149456","2.09721066485911","5.98340097984839","8.46180681481806","0.885151673030085","7.774"
"2","500","40","294.037429037701","293.850987979723","0.887429037701168","1.58789471855802","1.18873511719628","1.26828527522498","0.274949686822497","0.521530258655406","1.50862936409198","2.13352410729318","0.744259093736041","7.774"
"2","1000","40","293.704702059802","293.521651606106","0.554702059802423","0.848822598413635","0.624893775871926","0.775320603675429","0.141725000771318","0.322474684347476","0.94299350166412","1.33359419928309","0.636492419410597","7.774"
