case_id,power_scale,h_W_m2_K,max_delta_T_K,geometry_feedback_method,a_hot_m,b_hot_m,height_hot_m,delta_a_um,delta_b_um,delta_height_um,cold_frequency_GHz,hot_frequency_GHz,delta_f_GHz,delta_f_kHz,relative_detuning,mesh_elements,mesh_vertices,solve_elapsed_s
max_power2_h100,2.0,100.0,3.51964763520493,equivalent_parameterized_geometry_approximation,0.025001339523101497,0.10000362136161217,0.10000209721066486,1.339523101494558,3.6213616121719276,2.097210664859107,1.498961448338762,1.4989300116712012,-3.143666756089125E-5,-31.43666756089125,-2.097229891784824E-5,428,241,6.501
medium_power1_h500,1.0,500.0,0.443714518850641,equivalent_parameterized_geometry_approximation,0.025000137474843413,0.10000039556743644,0.10000026076512933,0.1374748434112485,0.39556743643318265,0.26076512932768936,1.498961448338762,1.4989575395888475,-3.9087499146273075E-6,-3.9087499146273075,-2.6076387214355752E-6,428,241,4.446
