"mesh_level","auto_mesh_size","cold_mesh_elements","hot_mesh_elements","cold_mesh_vertices","hot_mesh_vertices","cold_frequency_GHz","hot_frequency_GHz","delta_f_GHz","delta_f_kHz","relative_detuning","cold_solve_elapsed_s","hot_solve_elapsed_s"
"coarse","4","692","692","380","380","1.49896196346762","1.49893052710066","-3.1436366961124E-05","-31.436366961124","-2.09720911719472E-05","8.327","7.752"
"normal","3","1426","1426","762","762","1.49896220079625","1.49893076504249","-3.14357537625209E-05","-31.4357537625209","-2.09716787693661E-05","9.118","7.751"
"fine","2","4770","4770","2474","2474","1.49896228264499","1.49893084691047","-3.14357345216898E-05","-31.4357345216898","-2.0971664788136E-05","10.906","10.459"
