"delta_T_K","max_displacement_um","max_radial_u_um","max_axial_w_um","avg_outer_radial_u_um","avg_top_axial_w_um","reference_alpha_dT_0p1m_um","reference_alpha_dT_wall_0p075m_um","reference_alpha_dT_diag_um","max_disp_to_diag_ref_ratio","max_radial_to_0p1m_ref_ratio","max_axial_to_0p1m_ref_ratio","solve_elapsed_s"
"1","2.244851324745","1.712368247718","1.485630471512","1.076198593982","0.598674395456","1.7","1.275","2.404163056034","0.933735","1.007275","0.8739","3.809"
"5","11.224256623726","8.56184123859","7.42815235756","5.380992969912","2.99337197728","8.5","6.375","12.020815280171","0.933735","1.007275","0.8739","3.809"
"10","22.448513247452","17.123682477179","14.856304715121","10.761985939823","5.986743954559","17","12.75","24.041630560343","0.933735","1.007275","0.8739","3.809"
