"q_flux_W_m2","h_W_m2_K","max_T_K","avg_wall_T_K","max_delta_T_K","avg_delta_T_K","input_power_W","convective_heat_removed_W","heat_balance_residual_W","solve_elapsed_s"
"1000","100","294.51077559664","294.459436154076","1.36077559664","1.309436154077","15.707963267949","15.707963267979","-3E-11","4.409"
"1000","500","293.478176097548","293.426972405159","0.328176097548","0.276972405159","15.707963267949","15.707963267956","-7E-12","4.409"
"1000","1000","293.348743255601","293.297698961556","0.198743255601","0.147698961556","15.707963267949","15.707963267954","-5E-12","4.409"
"2000","100","295.871551193279","295.768872308151","2.721551193279","2.618872308151","31.415926535898","31.415926535958","-6E-11","4.409"
"2000","500","293.806352195095","293.703944810318","0.656352195095","0.553944810318","31.415926535898","31.415926535912","-1.4E-11","4.409"
"2000","1000","293.547486511203","293.445397923111","0.397486511203","0.295397923111","31.415926535898","31.415926535906","-8E-12","4.409"
